Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2007-10-09,32.982173919677734,33.273334876563496,29.229420508905978,30.89551235079529,116725709
2007-10-10,33.289512634277344,33.968891159536575,32.998351662859996,33.839484576934595,67931378
2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
2007-10-17,44.25661849975586,45.291858138136426,34.324759011891686,36.88051468514176,204876259
2007-10-18,42.7037353515625,48.349040354809915,40.87588732647553,44.96832691239553,146617799
2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
2007-10-25,44.1919059753418,45.22714981126027,39.031869473945804,42.78462289424035,34522489
2007-10-26,45.518310546875,46.24621513135018,43.75516213153062,44.968336438989255,62370025
2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
2007-10-30,47.47555160522461,48.75342547566269,45.68005160722159,47.07116030674552,79921711
2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
2007-11-01,47.37850570678711,50.03131497606693,46.990292605771515,49.65927577545422,50632492
2007-11-02,48.23580551147461,48.52697076743782,45.2918358726007,45.66387939123668,32001693
2007-11-05,49.222537994384766,50.30630792305431,47.912307105839936,48.20347245080184,38833135
2007-11-06,49.869571685791016,53.02382536173012,49.19019309338765,50.07985438660124,81880281
2007-11-07,49.14167785644531,51.50332296541287,48.041733619226584,50.791596406238185,33593141
2007-11-08,48.30052185058594,49.61075266344967,47.23293027381786,47.879956535599156,27990521
2007-11-12,49.465171813964844,50.338659054583786,45.566835810968826,46.84471448003583,35153735
2007-11-13,50.6460075378418,51.665073334207214,48.7049281588871,50.30632040169633,43830531
2007-11-14,49.9827880859375,52.24737982998339,49.72397496814729,51.53564924096946,36738579
2007-11-15,50.82392501831055,51.71358609524621,49.86955956242675,50.920977198805254,29242252
2007-11-16,50.46805953979492,51.61652935279601,49.88573329500752,50.5974639093274,18895294
2007-11-19,52.2958984375,54.18845071616877,51.228307094623624,51.61652013388471,40716718
2007-11-20,51.48711395263672,53.54142268810396,50.85626175291968,52.08561396991991,26342171
2007-11-21,47.47555160522461,52.10178630465485,46.32707768478814,51.79445155056659,26814499
2007-11-22,45.8418083190918,48.882834406764225,43.852203999806086,46.97410395958749,34096185
2007-11-23,48.882843017578125,49.1740039274089,46.132977304053334,48.85049083027977,27664090
2007-11-26,49.27105712890625,50.694513908374624,48.88284403701158,50.694513908374624,20159123
2007-11-27,48.05788040161133,50.11218937819072,47.55643687277575,50.11218937819072,20573198
2007-11-28,47.34614181518555,49.33575046932399,47.022628783673774,49.10928959209522,16435311
2007-11-29,46.06828308105469,48.78579255934553,45.46978289890112,48.52698380443317,25530967
2007-11-30,47.84760665893555,48.13876761323275,46.26239311849263,46.90941941156548,18437721
2007-12-03,48.526973724365234,49.125473782197815,48.05787801710885,48.42991717048796,16851227
2007-12-04,47.8961296081543,49.25488648955349,47.540264292747125,48.85049508293797,14008727
2007-12-05,49.80485153198242,49.98278636708058,47.87995124849518,47.9770034218744,27725290
2007-12-06,48.882843017578125,51.64887824286127,48.25199072300544,50.888621587022385,24104710
2007-12-07,48.672569274902344,49.88574372016342,47.79908630707141,49.190191249132745,11742386
2007-12-10,48.721092224121094,49.319588014164644,48.0902398550299,49.14165754489673,8330010
2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
2007-12-12,48.46227264404297,48.89901619631353,47.556437740607606,47.87995083296697,16342131
2007-12-13,47.653499603271484,49.17401320172101,47.47556912146332,48.526986885432365,14620172
2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
2007-12-17,44.33747482299805,47.71818794395025,43.67427043906008,47.45937487170864,19355678
2007-12-18,44.143375396728516,45.6153583256099,42.76844464788838,43.836036180052076,21607783
2007-12-19,43.33458709716797,45.95504389252686,42.96254793704477,45.56682644583409,19526912
2007-12-20,42.89785385131836,44.256610852576145,42.70374508143468,43.900745505777394,17105204
2007-12-24,44.20808410644531,44.90363649935758,43.18901417653636,43.54487951809759,16711519
2007-12-26,45.550636291503906,46.10061008006131,44.45069310231445,44.45069310231445,20930094
2007-12-27,45.87417221069336,47.13587251172646,45.48595470825507,46.488846266281016,44565277
2007-12-28,46.23003005981445,46.424138779696335,45.29183864503983,45.77710825078111,18354518
2007-12-31,46.569725036621094,46.84471207141228,46.00357706590355,46.58590332568387,11982308
2008-01-01,47.42704391479492,47.86378760447357,46.37562603383043,46.81236972350908,16687746
2008-01-02,47.1682243347168,47.78289838552361,46.47267200385836,47.42703307571097,13437280
2008-01-03,49.109317779541016,49.303426587446644,46.31092932834871,46.877077458448326,31815218
2008-01-04,48.85047912597656,50.46804422406259,48.52696610635935,49.821018184828176,28011310
2008-01-07,48.44610595703125,49.562223659077276,47.928484054609655,48.54315814401689,15858063
2008-01-08,46.79619598388672,49.17401884680252,46.23004789214146,48.4946402591225,13282666
2008-01-09,46.05210876464844,47.055000455333754,45.938878279132204,46.84471777533396,13113527
2008-01-10,44.95215606689453,47.556439171502255,44.644816864734956,46.26238676312891,18023003
2008-01-11,45.63154220581055,46.06828584536862,43.83604155161136,45.566837819236014,11629440
2008-01-14,46.327091217041016,46.81236091696435,44.98451259150532,45.712417141390326,10264240
2008-01-15,44.919803619384766,47.26527359600053,44.547764431713915,47.07116924620861,11558334
2008-01-16,43.997779846191406,44.968318913919475,42.88166255105985,44.59627981554229,14834065
2008-01-17,45.178611755371094,46.181503133167304,43.221355081880944,44.159542091589614,16169395
2008-01-18,43.07577133178711,44.85509295965617,42.70372784470989,44.80656249582787,13254156
2008-01-21,35.74821090698242,42.70374344833289,31.13814644723972,42.70374344833289,33202389
2008-01-22,32.15720748901367,33.968881582979066,25.541363363312325,32.221909665091694,58755707
2008-01-23,35.74821090698242,37.12314175817961,32.67483606312989,32.67483606312989,28425991
2008-01-24,35.829078674316406,38.36865696682665,34.130635180258324,37.67310479446436,29911930
2008-01-25,37.67311477661133,37.85104524415448,36.152601300064134,37.5275321119468,12550722
2008-01-28,38.0775032043457,38.36866412290287,34.13064154590795,37.15548997230856,13601109
2008-01-29,37.44664001464844,38.72451817062444,36.88049224213964,38.17454429358832,7679877
2008-01-30,35.376163482666016,37.689281031042924,34.90706778097148,37.52752449775885,9016102
2008-01-31,33.063053131103516,35.845267171397005,32.67483777975103,35.748212785067885,41538563
2008-02-01,34.211517333984375,34.45415214645339,33.32185635493134,33.62919334526605,9089201
2008-02-04,35.97466278076172,36.395230222943006,34.85854309517702,34.85854309517702,12009385
2008-02-05,37.09078598022461,37.57605564549223,35.262937785302036,36.03936837214476,14593303
2008-02-06,36.76727294921875,37.204016526485546,34.7129660115404,36.07172063842287,12429218
2008-02-07,35.0364875793457,37.5113647912914,34.810028785864425,36.265838136198056,11300078
2008-02-08,34.13064956665039,35.55410669360967,33.49979710491935,35.26294570662933,13514197
