Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,29.3924503326416,29.61455895998863,28.67059376343322,28.67059376343322,212976
2002-08-13,28.994503021240234,29.901450584548563,28.78164950828027,29.429467985958603,153576
2002-08-14,26.995512008666992,29.059274652019067,26.449491531272535,29.059274652019067,822776
2002-08-15,26.995512008666992,26.995512008666992,26.995512008666992,26.995512008666992,0
2002-08-16,26.93072509765625,28.133815909579038,26.46799786230133,26.856689869704628,811856
2002-08-19,26.264400482177734,27.152837465191343,26.014529434127954,27.152837465191343,205880
2002-08-20,26.995512008666992,28.670582587477814,26.27365572084228,26.449491531272535,3773624
2002-08-21,28.318927764892578,29.022274248089317,27.041800779711267,28.485508563215358,3011064
2002-08-22,29.540523529052734,30.780632613796495,29.105558567025756,29.25363192586033,6732480
2002-08-23,31.317378997802734,32.29836131018531,29.43870753554011,29.79963421742025,4841672
2002-08-26,31.206340789794922,32.02073998336557,30.95646683362943,31.817138772840778,2576912
2002-08-27,30.428955078125,32.761102486533005,30.169828843530393,31.4654656650317,3694224
2002-08-28,30.456724166870117,30.799140817274854,29.82741308156783,30.336413324081033,1674960
2002-08-29,30.456724166870117,31.002742043985926,30.16983255623705,30.27163316959259,1236544
2002-08-30,32.61301040649414,33.408901704472584,30.539993247855822,30.549248356116767,3762384
2002-09-02,32.94618225097656,34.0382174992531,32.61301804538372,33.13127316249891,2389568
2002-09-03,31.400678634643555,33.27009836511491,31.09527969590712,33.131280152186754,986784
2002-09-04,32.085506439208984,32.39090527351125,30.641796953594206,31.002723618932198,1449856
2002-09-05,31.89116859436035,33.21456764695894,31.46545887995531,33.06649433443586,1061360
2002-09-06,30.70659828186035,32.020745619053415,30.364181598411985,32.020745619053415,907472
2002-09-09,30.308656692504883,31.604293925161578,29.244383251394023,29.244383251394023,880848
2002-09-10,30.308656692504883,30.308656692504883,30.308656692504883,30.308656692504883,0
2002-09-11,31.076770782470703,31.613536256334047,30.47522516773233,30.47522516773233,635936
2002-09-12,31.234100341796875,32.002226716793245,31.021246861765782,31.45620893493019,781968
2002-09-13,30.345643997192383,31.261843130919516,30.08651793942021,30.142045758732024,338264
2002-09-16,29.753368377685547,30.799131050990518,29.522004704453153,30.632550335968634,288592
2002-09-17,30.62327766418457,30.817623603110636,30.188315902481634,30.290113600920172,462952
2002-09-18,29.679351806640625,30.540024082907323,29.429477752619785,30.447478555383363,315432
2002-09-19,29.429466247558594,30.410449020663396,29.059284282180496,29.429466247558594,490848
2002-09-20,28.948225021362305,29.373934794319027,28.25413392119284,28.37444473978056,501072
2002-09-23,28.457748413085938,29.225875126724926,28.337440362509067,29.15183983779535,248504
2002-09-24,27.495256423950195,28.355928062638043,27.18985471480111,28.355928062638043,267912
2002-09-25,27.7081241607666,27.948743043210097,26.65310594849175,26.856707193081952,379544
2002-09-26,28.143085479736328,28.58730272422144,27.948739376174952,28.28190372167097,178136
2002-09-27,28.48548698425293,28.87417898490877,28.050525085127727,28.050525085127727,206288
2002-09-30,27.448989868164062,28.48549754716299,26.85669936241269,28.05053548674641,202232
2002-10-01,27.217626571655273,27.948735307903267,26.745644052927297,27.578553383295276,240192
