Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.40532302856445,35.27219619663847,26.78431971791807,28.92642191081614,855215656
1,2007-10-08,30.74639892578125,33.50052864335988,30.55312582175099,33.50052864335988,126671715
2,2007-10-09,32.840171813964844,33.13007920069238,29.103575582154324,30.762494199184793,116725709
3,2007-10-10,33.14619827270508,33.822652011990925,32.856290775593344,33.6938025364266,67931378
4,2007-10-11,36.85057830810547,38.65445325958332,32.85628658135697,38.65445325958332,106320954
5,2007-10-12,36.60898971557617,37.97800135541834,35.755371566893814,36.07749195273903,99410791
6,2007-10-15,37.092166900634766,37.59145607443532,36.77004654426162,37.365970077359336,41814972
7,2007-10-16,40.87708282470703,41.52132793386143,36.88279110978744,37.14048565821949,138614496
8,2007-10-17,44.06607437133789,45.096856849608045,34.17697588903258,36.72172791460878,204876259
9,2007-10-18,42.5198974609375,48.140899649567224,40.69991824925873,44.774740044725704,146617799
10,2007-10-19,42.374942779541016,44.0982875005338,40.265051896611546,41.55353327768476,110266491
11,2007-10-22,41.81122589111328,43.1158113457566,40.42610599322039,41.52131849775212,72253405
12,2007-10-23,44.790828704833984,45.1934789866152,42.841998719591786,42.841998719591786,74594921
13,2007-10-24,44.09828567504883,46.22428073961967,43.59899653912937,45.74109587268225,63055170
14,2007-10-25,44.001644134521484,45.03243087827404,38.86382342178153,42.6004199065891,34522489
15,2007-10-26,45.32234191894531,46.04711267747288,43.566784334008304,44.774735598220914,62370025
16,2007-10-29,46.24038314819336,47.351699996267776,45.837732749476025,46.06321872037231,43657697
17,2007-10-30,47.27117919921875,48.54355208760095,45.48340845642538,46.8685287214325,79921711
18,2007-10-31,48.25363540649414,49.31663508636127,47.35170025603398,47.51276041640447,44655368
19,2007-11-01,47.174537658691406,49.81592638355867,46.787995844418155,49.44548883982458,50632492
20,2007-11-02,48.028141021728516,48.31805275484349,45.09684574262536,45.46728754181991,32001693
21,2007-11-05,49.010616302490234,50.08972019063716,47.706026454777245,47.99593822251539,38833135
22,2007-11-06,49.65486526489258,52.79553874564505,48.97841164138465,49.86424262313535,81880281
23,2007-11-07,48.930091857910156,51.28156859126738,47.83488357619634,50.57290646499925,33593141
24,2007-11-08,48.092567443847656,49.397157152621,47.02957230547153,47.673812842435424,27990521
25,2007-11-12,49.252193450927734,50.12191978511861,45.37064221163595,46.64301881739018,35153735
26,2007-11-13,50.42795181274414,51.442630034610566,48.49522972574644,50.08972719513427,43830531
27,2007-11-14,49.767601013183594,52.02244318368536,49.50990214370446,51.31377675391313,36738579
28,2007-11-15,50.605133056640625,51.490964230785934,49.65487604948776,50.701767437114036,29242252
29,2007-11-16,50.25077819824219,51.39430347674012,49.67095905653825,50.379625440053275,18895294
30,2007-11-19,52.07075500488281,53.955159498942116,51.00775983850878,51.394301549446666,40716718
31,2007-11-20,51.26544952392578,53.310913965407885,50.637313294899585,51.86137285445709,26342171
32,2007-11-21,47.27117919921875,51.87749891747864,46.1276492208834,51.57148717578346,26814499
33,2007-11-22,45.644474029541016,48.672409474751454,43.66343431905303,46.77189550027832,34096185
